,Z values,position,total,lacune,microbleeds,PVS,WMH
460,2.04304291938614,total_mean,0,2,0,0,0
461,2.435168565847846,frontal_mean,0,2,0,0,1
462,2.2333559919057815,WM_mean,0,2,0,0,1
463,2.0180104069465696,CH_mean,0,2,0,0,1
464,2.3406131576583644,TH_mean,0,2,0,0,1
465,2.04304291938614,total_mean,0,2,0,0,1
466,2.435168565847846,frontal_mean,0,2,0,0,2
467,2.2333559919057815,WM_mean,0,2,0,0,2
468,2.0180104069465696,CH_mean,0,2,0,0,2
469,2.3406131576583644,TH_mean,0,2,0,0,2
470,2.04304291938614,total_mean,0,2,0,0,2
471,2.435168565847846,frontal_mean,0,2,0,2,0
472,2.2333559919057815,WM_mean,0,2,0,2,0
473,2.0180104069465696,CH_mean,0,2,0,2,0
474,2.3406131576583644,TH_mean,0,2,0,2,0
475,2.04304291938614,total_mean,0,2,0,2,0
476,2.435168565847846,frontal_mean,0,2,0,2,1
477,2.2333559919057815,WM_mean,0,2,0,2,1
478,2.0180104069465696,CH_mean,0,2,0,2,1
479,2.3406131576583644,TH_mean,0,2,0,2,1
480,2.04304291938614,total_mean,0,2,0,2,1
481,2.435168565847846,frontal_mean,0,2,0,2,2
482,2.2333559919057815,WM_mean,0,2,0,2,2
483,2.0180104069465696,CH_mean,0,2,0,2,2
484,2.3406131576583644,TH_mean,0,2,0,2,2
485,2.04304291938614,total_mean,0,2,0,2,2
486,2.435168565847846,frontal_mean,0,2,0,3,0
487,2.2333559919057815,WM_mean,0,2,0,3,0
488,2.0180104069465696,CH_mean,0,2,0,3,0
489,2.3406131576583644,TH_mean,0,2,0,3,0
490,2.04304291938614,total_mean,0,2,0,3,0
491,2.435168565847846,frontal_mean,0,2,0,3,1
492,2.2333559919057815,WM_mean,0,2,0,3,1
493,2.0180104069465696,CH_mean,0,2,0,3,1
494,2.3406131576583644,TH_mean,0,2,0,3,1
495,2.04304291938614,total_mean,0,2,0,3,1
496,2.435168565847846,frontal_mean,0,2,0,3,2
497,2.2333559919057815,WM_mean,0,2,0,3,2
498,2.0180104069465696,CH_mean,0,2,0,3,2
499,2.3406131576583644,TH_mean,0,2,0,3,2
500,2.04304291938614,total_mean,0,2,0,3,2
