,p values,position,lacune,microbleeds,PVS,WMH
192,0.014842476,frontal_mean,0,2,4,1
193,0.013204741,Parietal_mean,0,2,4,1
194,0.02566912,WM_mean,0,2,4,1
195,0.016916788,CH_mean,0,2,4,1
196,0.039133092,TH_mean,0,2,4,1
197,0.028408005,GM_mean,0,2,4,1
198,0.020839282,total_mean,0,2,4,1
199,0.014842476,frontal_mean,0,2,6,0
200,0.013204741,Parietal_mean,0,2,6,0
201,0.02566912,WM_mean,0,2,6,0
202,0.016916788,CH_mean,0,2,6,0
203,0.039133092,TH_mean,0,2,6,0
204,0.028408005,GM_mean,0,2,6,0
205,0.020839282,total_mean,0,2,6,0
206,0.014842476,frontal_mean,0,2,6,1
207,0.013204741,Parietal_mean,0,2,6,1
208,0.02566912,WM_mean,0,2,6,1
209,0.016916788,CH_mean,0,2,6,1
210,0.039133092,TH_mean,0,2,6,1
211,0.028408005,GM_mean,0,2,6,1
212,0.020839282,total_mean,0,2,6,1
213,0.019651886,frontal_mean,0,2,7,0
214,0.028255504,Parietal_mean,0,2,7,0
215,0.038543215,WM_mean,0,2,7,0
216,0.019651886,frontal_mean,0,2,7,1
217,0.028255504,Parietal_mean,0,2,7,1
218,0.038543215,WM_mean,0,2,7,1
219,0.019651886,frontal_mean,0,2,8,0
220,0.028255504,Parietal_mean,0,2,8,0
221,0.038543215,WM_mean,0,2,8,0
222,0.019651886,frontal_mean,0,2,8,1
223,0.028255504,Parietal_mean,0,2,8,1
224,0.038543215,WM_mean,0,2,8,1
225,0.02222375,Parietal_mean,1,0,0,0
226,0.032340805,CH_mean,1,0,0,0
227,0.040197751,TH_mean,1,0,0,0
228,0.021582557,GM_mean,1,0,0,0
229,0.021937764,total_mean,1,0,0,0
230,0.02222375,Parietal_mean,1,0,0,1
231,0.032340805,CH_mean,1,0,0,1
232,0.040197751,TH_mean,1,0,0,1
233,0.021582557,GM_mean,1,0,0,1
234,0.021937764,total_mean,1,0,0,1
235,0.02222375,Parietal_mean,1,0,0,2
236,0.032340805,CH_mean,1,0,0,2
237,0.040197751,TH_mean,1,0,0,2
238,0.021582557,GM_mean,1,0,0,2
239,0.021937764,total_mean,1,0,0,2
240,0.02222375,Parietal_mean,1,0,2,0
241,0.032340805,CH_mean,1,0,2,0
242,0.040197751,TH_mean,1,0,2,0
243,0.021582557,GM_mean,1,0,2,0
244,0.021937764,total_mean,1,0,2,0
245,0.02222375,Parietal_mean,1,0,2,1
246,0.032340805,CH_mean,1,0,2,1
247,0.040197751,TH_mean,1,0,2,1
248,0.021582557,GM_mean,1,0,2,1
249,0.021937764,total_mean,1,0,2,1
250,0.02222375,Parietal_mean,1,0,2,2
251,0.032340805,CH_mean,1,0,2,2
252,0.040197751,TH_mean,1,0,2,2
253,0.021582557,GM_mean,1,0,2,2
254,0.021937764,total_mean,1,0,2,2
255,0.02222375,Parietal_mean,1,0,3,0
256,0.032340805,CH_mean,1,0,3,0
257,0.040197751,TH_mean,1,0,3,0
258,0.021582557,GM_mean,1,0,3,0
259,0.021937764,total_mean,1,0,3,0
260,0.02222375,Parietal_mean,1,0,3,1
261,0.032340805,CH_mean,1,0,3,1
262,0.040197751,TH_mean,1,0,3,1
263,0.021582557,GM_mean,1,0,3,1
264,0.021937764,total_mean,1,0,3,1
265,0.02222375,Parietal_mean,1,0,3,2
266,0.032340805,CH_mean,1,0,3,2
267,0.040197751,TH_mean,1,0,3,2
268,0.021582557,GM_mean,1,0,3,2
269,0.021937764,total_mean,1,0,3,2
270,0.02222375,Parietal_mean,1,0,4,0
271,0.032340805,CH_mean,1,0,4,0
272,0.040197751,TH_mean,1,0,4,0
273,0.021582557,GM_mean,1,0,4,0
274,0.021937764,total_mean,1,0,4,0
275,0.02222375,Parietal_mean,1,0,4,1
276,0.032340805,CH_mean,1,0,4,1
277,0.040197751,TH_mean,1,0,4,1
278,0.021582557,GM_mean,1,0,4,1
279,0.021937764,total_mean,1,0,4,1
280,0.02222375,Parietal_mean,1,0,4,2
281,0.032340805,CH_mean,1,0,4,2
282,0.040197751,TH_mean,1,0,4,2
283,0.021582557,GM_mean,1,0,4,2
284,0.021937764,total_mean,1,0,4,2
285,0.02222375,Parietal_mean,1,0,6,0
286,0.032340805,CH_mean,1,0,6,0
287,0.040197751,TH_mean,1,0,6,0
288,0.021582557,GM_mean,1,0,6,0
289,0.021937764,total_mean,1,0,6,0
290,0.02222375,Parietal_mean,1,0,6,1
291,0.032340805,CH_mean,1,0,6,1
292,0.040197751,TH_mean,1,0,6,1
293,0.021582557,GM_mean,1,0,6,1
294,0.021937764,total_mean,1,0,6,1
295,0.02222375,Parietal_mean,1,0,6,2
296,0.032340805,CH_mean,1,0,6,2
297,0.040197751,TH_mean,1,0,6,2
298,0.021582557,GM_mean,1,0,6,2
299,0.021937764,total_mean,1,0,6,2
300,0.03259484,Parietal_mean,1,1,0,0
301,0.040751308,CH_mean,1,1,0,0
302,0.049451473,total_mean,1,1,0,0
303,0.03259484,Parietal_mean,1,1,0,1
304,0.040751308,CH_mean,1,1,0,1
305,0.049451473,total_mean,1,1,0,1
306,0.03259484,Parietal_mean,1,1,0,2
307,0.040751308,CH_mean,1,1,0,2
308,0.049451473,total_mean,1,1,0,2
309,0.03259484,Parietal_mean,1,1,2,0
310,0.040751308,CH_mean,1,1,2,0
311,0.049451473,total_mean,1,1,2,0
312,0.03259484,Parietal_mean,1,1,2,1
313,0.040751308,CH_mean,1,1,2,1
314,0.049451473,total_mean,1,1,2,1
315,0.03259484,Parietal_mean,1,1,2,2
316,0.040751308,CH_mean,1,1,2,2
317,0.049451473,total_mean,1,1,2,2
318,0.03259484,Parietal_mean,1,1,3,0
319,0.040751308,CH_mean,1,1,3,0
320,0.049451473,total_mean,1,1,3,0
321,0.03259484,Parietal_mean,1,1,3,1
322,0.040751308,CH_mean,1,1,3,1
323,0.049451473,total_mean,1,1,3,1
324,0.03259484,Parietal_mean,1,1,3,2
325,0.040751308,CH_mean,1,1,3,2
326,0.049451473,total_mean,1,1,3,2
327,0.03259484,Parietal_mean,1,1,4,0
328,0.040751308,CH_mean,1,1,4,0
329,0.049451473,total_mean,1,1,4,0
330,0.03259484,Parietal_mean,1,1,4,1
331,0.040751308,CH_mean,1,1,4,1
332,0.049451473,total_mean,1,1,4,1
333,0.03259484,Parietal_mean,1,1,4,2
334,0.040751308,CH_mean,1,1,4,2
335,0.049451473,total_mean,1,1,4,2
336,0.03259484,Parietal_mean,1,1,6,0
337,0.040751308,CH_mean,1,1,6,0
338,0.049451473,total_mean,1,1,6,0
339,0.03259484,Parietal_mean,1,1,6,1
340,0.040751308,CH_mean,1,1,6,1
341,0.049451473,total_mean,1,1,6,1
342,0.03259484,Parietal_mean,1,1,6,2
343,0.040751308,CH_mean,1,1,6,2
344,0.049451473,total_mean,1,1,6,2
345,0.03259484,Parietal_mean,1,2,0,0
346,0.040751308,CH_mean,1,2,0,0
347,0.049451473,total_mean,1,2,0,0
348,0.03259484,Parietal_mean,1,2,0,1
349,0.040751308,CH_mean,1,2,0,1
350,0.049451473,total_mean,1,2,0,1
351,0.03259484,Parietal_mean,1,2,0,2
352,0.040751308,CH_mean,1,2,0,2
353,0.049451473,total_mean,1,2,0,2
354,0.03259484,Parietal_mean,1,2,2,0
355,0.040751308,CH_mean,1,2,2,0
356,0.049451473,total_mean,1,2,2,0
